,masa,px,py,pz,E,masa*,px*,py*,pz*,E*
0,-13.0,-32.799655843000004,24.684812551999997,19.840752048,45.593999999999994,13.0,32.799655843000004,-24.684812551999997,-19.840752048,45.593999999999994
1,-13.0,-28.461580931,-31.720860433000002,-16.203032440999998,45.593999999999994,13.0,28.461580931,31.720860433000002,16.203032440999998,45.593999999999994
2,-13.0,36.167748425,22.612370246999998,-16.105512151,45.593999999999994,13.0,-36.167748425,-22.612370246999998,16.105512151,45.593999999999994
3,-13.0,26.798338379,-31.957466433,18.422329802,45.593999999999994,13.0,-26.798338379,31.957466433,-18.422329802,45.593999999999994
4,-13.0,-44.11573831,7.633661578,-8.6221621591,45.593999999999994,13.0,44.11573831,-7.633661578,8.6221621591,45.593999999999994
5,-13.0,6.1194406548,-41.729205686,-17.321624488,45.593999999999994,13.0,-6.1194406548,41.729205686,17.321624488,45.593999999999994
6,-13.0,-14.931502357000001,-4.3617652377,-42.858348981,45.593999999999994,13.0,14.931502357000001,4.3617652377,42.858348981,45.593999999999994
7,-13.0,14.294699915999999,8.9895838414,-42.351644274,45.593999999999994,13.0,-14.294699915999999,-8.9895838414,42.351644274,45.593999999999994
8,-13.0,-24.717211888,-13.812685330999999,35.736284032,45.593999999999994,13.0,24.717211888,13.812685330999999,-35.736284032,45.593999999999994
9,-13.0,-24.96395907,-16.911685644000002,34.199539064,45.593999999999994,13.0,24.96395907,16.911685644000002,-34.199539064,45.593999999999994
10,-13.0,-29.592124733000002,15.424568203,-31.067695208000004,45.593999999999994,13.0,29.592124733000002,-15.424568203,31.067695208000004,45.593999999999994
11,-13.0,-33.059955675,10.957155179,-29.424359248000002,45.593999999999994,13.0,33.059955675,-10.957155179,29.424359248000002,45.593999999999994
12,-13.0,-39.573138845,5.4010205452,-21.99110036,45.593999999999994,13.0,39.573138845,-5.4010205452,21.99110036,45.593999999999994
13,-13.0,-11.813421845,-14.002897222,-41.751344526,45.593999999999994,13.0,11.813421845,14.002897222,41.751344526,45.593999999999994
14,-13.0,-36.187533452,9.8634610425,25.922719667,45.593999999999994,13.0,36.187533452,-9.8634610425,-25.922719667,45.593999999999994
15,-13.0,21.649653511,-24.704739973000002,-31.619316276,45.593999999999994,13.0,-21.649653511,24.704739973000002,31.619316276,45.593999999999994
16,-13.0,42.959098241999996,11.608036775999999,9.9288567543,45.593999999999994,13.0,-42.959098241999996,-11.608036775999999,-9.9288567543,45.593999999999994
17,-13.0,7.6074977041,-44.73692873,-4.4210883797000005,45.593999999999994,13.0,-7.6074977041,44.73692873,4.4210883797000005,45.593999999999994
18,-13.0,7.908318679500001,-8.298216865499999,44.129479133000004,45.593999999999994,13.0,-7.908318679500001,8.298216865499999,-44.129479133000004,45.593999999999994
19,-13.0,-10.284484552,-38.42482086,-22.283970816,45.593999999999994,13.0,10.284484552,38.42482086,22.283970816,45.593999999999994
20,-13.0,26.134586240999997,-33.021888579,-17.474298633,45.593999999999994,13.0,-26.134586240999997,33.021888579,17.474298633,45.593999999999994
21,-13.0,34.081894896,-12.754121318,27.469431478,45.593999999999994,13.0,-34.081894896,12.754121318,-27.469431478,45.593999999999994
22,-13.0,44.943880783000004,-5.791670793400001,-5.0315967198000005,45.593999999999994,13.0,-44.943880783000004,5.791670793400001,5.0315967198000005,45.593999999999994
23,-13.0,20.269313878,-32.565864198,24.646140468000002,45.593999999999994,13.0,-20.269313878,32.565864198,-24.646140468000002,45.593999999999994
24,-13.0,-4.0432013397,29.606072176999998,-34.437564507,45.593999999999994,13.0,4.0432013397,-29.606072176999998,34.437564507,45.593999999999994
25,-13.0,6.080217107899999,26.074954403000003,-36.904478709,45.593999999999994,13.0,-6.080217107899999,-26.074954403000003,36.904478709,45.593999999999994
26,-13.0,-30.804271384,-11.105496672000001,-31.726607827,45.593999999999994,13.0,30.804271384,11.105496672000001,31.726607827,45.593999999999994
27,-13.0,7.6641000973,-15.129443650999999,-42.322267668,45.593999999999994,13.0,-7.6641000973,15.129443650999999,42.322267668,45.593999999999994
28,-13.0,-13.759185895,15.429748757,-40.637673319,45.593999999999994,13.0,13.759185895,-15.429748757,40.637673319,45.593999999999994
29,-13.0,-45.313791239,-3.5946780566000003,-3.5428024563,45.593999999999994,13.0,45.313791239,3.5946780566000003,3.5428024563,45.593999999999994
30,-13.0,-5.7800615781,38.856400634,23.142684674,45.593999999999994,13.0,5.7800615781,-38.856400634,-23.142684674,45.593999999999994
31,-13.0,40.448177606,-21.002652007000002,1.2831106943000001,45.593999999999994,13.0,-40.448177606,21.002652007000002,-1.2831106943000001,45.593999999999994
32,-13.0,41.074577977,17.976866838,8.277930821,45.593999999999994,13.0,-41.074577977,-17.976866838,-8.277930821,45.593999999999994
33,-13.0,38.786893858,-17.82148389,16.02449415,45.593999999999994,13.0,-38.786893858,17.82148389,-16.02449415,45.593999999999994
34,-13.0,40.965433633,4.4442788944,-19.516517832999998,45.593999999999994,13.0,-40.965433633,-4.4442788944,19.516517832999998,45.593999999999994
35,-13.0,-35.425080076,-8.0566077162,27.549366775,45.593999999999994,13.0,35.425080076,8.0566077162,-27.549366775,45.593999999999994
36,-13.0,41.473936011,4.028087103,-18.506755039,45.593999999999994,13.0,-41.473936011,-4.028087103,18.506755039,45.593999999999994
37,-13.0,-21.205027682,40.176875804,3.8701792743,45.593999999999994,13.0,21.205027682,-40.176875804,-3.8701792743,45.593999999999994
38,-13.0,-19.949614648,29.268256038,-28.708794818,45.593999999999994,13.0,19.949614648,-29.268256038,28.708794818,45.593999999999994
39,-13.0,25.116924305,18.980835799,32.980006395,45.593999999999994,13.0,-25.116924305,-18.980835799,-32.980006395,45.593999999999994
